"date","maxtemp","mintemp","wind","maxgust","precipitation","snowdepth","event"
"21/08/2012 ",15,10,28,"n/a ",0,"n/a "," "
"22/08/2012 ",16,7,15.5,"n/a ",0,"n/a "," "
"23/08/2012 ",16,8,11.2,"n/a ",0,"n/a "," "
"24/08/2012 ",16,7,13.8,"n/a ",0,"n/a "," "
"25/08/2012 ",16,9,16.8,"n/a ",0,"n/a "," "
"26/08/2012 ",16,13,19.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"27/08/2012 ",18,10,19.6,"n/a ",0,"n/a "," "
"28/08/2012 ",15,6,22.2,"n/a ",0,"n/a "," "
"29/08/2012 ",17,9,23.6,"n/a ",0,"n/a "," "
"30/08/2012 ",15,7,23.6,"n/a ",0,"n/a "," "
"31/08/2012 ",17,8,19.6,"n/a ",0,"n/a ","  "
"01/09/2012 ",16,12,30.8,44.9,0,"n/a "," "
"02/09/2012 ",16,14,33.4,41.8,"n/a ","n/a ","Rain (or Drizzle)"
"03/09/2012 ",14,11,30.8,44.9,"n/a ","n/a ","Rain (or Drizzle)"
"04/09/2012 ",15,11,36.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/09/2012 ",16,11,29.4,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"06/09/2012 ",18,13,25.3,"n/a ",0,"n/a "," "
"07/09/2012 ",19,13,25.3,39.2,0,"n/a "," "
"08/09/2012 ",18,12,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"09/09/2012 ",17,11,35.1,53,"n/a ","n/a ","Rain (or Drizzle)"
"10/09/2012 ",16,13,32,"n/a ",0,"n/a "," "
"11/09/2012 ",16,7,36.4,50.2,"n/a ","n/a ","Rain (or Drizzle)"
"12/09/2012 ",12,3,23.6,"n/a ",0,"n/a "," "
"13/09/2012 ",14,5,13.8,"n/a ",0,"n/a "," "
"14/09/2012 ",16,8,29.4,43.2,0,"n/a "," "
"15/09/2012 ",15,11,36.4,51.6,"n/a ","n/a ","Rain (or Drizzle)"
"16/09/2012 ",17,11,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/09/2012 ",17,12,30.8,"n/a ",0,"n/a "," "
"18/09/2012 ",15,6,21,"n/a ",0,"n/a "," "
"19/09/2012 ",15,9,18.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"20/09/2012 ",16,10,12.4,"n/a ",0,"n/a "," "
"21/09/2012 ",16,8,18.2,"n/a ",0,"n/a "," "
"22/09/2012 ",16,9,21,"n/a ",0,"n/a "," "
"23/09/2012 ",16,9,22.2,33.4,"n/a ","n/a ","Rain (or Drizzle)"
"24/09/2012 ",16,9,22.2,"n/a ",0,"n/a "," "
"25/09/2012 ",17,12,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"26/09/2012 ",18,13,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"27/09/2012 ",16,12,25.3,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"28/09/2012 ",18,13,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"29/09/2012 ",20,13,15.5,"n/a ",0,"n/a "," "
"30/09/2012 ",18,13,21,"n/a ","n/a ","n/a ","Rain (or Drizzle) "
"01/10/2012 ",17,11,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"02/10/2012 ",16,11,30.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"03/10/2012 ",17,12,30.8,41.8,"n/a ","n/a ","Rain (or Drizzle)"
"04/10/2012 ",16,12,28,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"05/10/2012 ",17,15,28,43.2,"n/a ","n/a ","Rain (or Drizzle)"
"06/10/2012 ",17,11,43.2,55.9,"n/a ","n/a ","Rain (or Drizzle)"
"07/10/2012 ",16,10,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"08/10/2012 ",20,12,22.2,32,"n/a ","n/a ","Rain (or Drizzle)"
"09/10/2012 ",19,9,18.2,"n/a ",0,"n/a "," "
"10/10/2012 ",17,9,21,"n/a ",0,"n/a "," "
"11/10/2012 ",18,7,25.3,"n/a ",0,"n/a "," "
"12/10/2012 ",19,15,36.4,69.8,"n/a ","n/a ","Rain (or Drizzle)"
"13/10/2012 ",19,12,41.8,58.7,"n/a ","n/a ","Rain (or Drizzle)"
"14/10/2012 ",16,11,30.8,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"15/10/2012 ",16,12,32,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"16/10/2012 ",18,12,26.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"17/10/2012 ",19,14,29.4,43.2,"n/a ","n/a ","Rain (or Drizzle)"
"18/10/2012 ",17,11,41.8,57.3,"n/a ","n/a ","Rain (or Drizzle)"
"19/10/2012 ",15,11,37.8,53,0,"n/a "," "
"20/10/2012 ",16,10,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"21/10/2012 ",18,14,33.4,44.9,"n/a ","n/a ","Rain (or Drizzle)"
"22/10/2012 ",18,11,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"23/10/2012 ",16,6,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"24/10/2012 ",17,6,13.8,"n/a ",0,"n/a "," "
"25/10/2012 ",17,12,23.6,"n/a ",0,"n/a "," "
"26/10/2012 ",18,9,18.2,"n/a ",0,"n/a "," "
"27/10/2012 ",19,11,18.2,"n/a ",0,"n/a "," "
"28/10/2012 ",19,13,22.2,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
"29/10/2012 ",21,13,28,43.2,0,"n/a "," "
"30/10/2012 ",20,13,21,"n/a ",0,"n/a "," "
"31/10/2012 ",18,14,23.6,"n/a ",0,"n/a ","  "
"01/11/2012 ",19,14,16.8,"n/a ",0,"n/a "," "
"02/11/2012 ",18,14,23.6,"n/a ","n/a ","n/a ","Rain (or Drizzle)"
